"dt","nom_doc","type","rq"
"2013-03-27 11:16:27+00","avril_opérateur.xls","pj","provient du mailplanning avril2013 -"
"2013-03-27 11:16:27+00","planning avril2013 -","ml",""
"2013-03-28 08:45:41+00","planning_vacances2013.xls","pj","provient du mailvacances 2013....."
"2013-03-28 08:45:41+00","vacances 2013.....","ml",""
"2013-04-03 12:35:15+00","Fwd: erreur ou pas sur le planning","ml",""
"2013-04-03 12:37:58+00","planning_bis_vacances_2013.xls","pj","provient du mailplanning avec modif intégrée suite erreur de ma part ou modif demandée par vous"
"2013-04-03 12:37:58+00","planning avec modif intégrée suite erreur de ma part ou modif demandée par vous","ml",""
"2013-07-10 15:11:32+00","modif_planning_10.7.2013.xls","pj","provient du mailmodification planning du 17.07 au 31.08.2013"
"2013-07-10 15:11:32+00","modification planning du 17.07 au 31.08.2013","ml",""
"2013-07-10 15:15:45+00","back up - modification de planning","ml",""
"2013-09-30 12:33:08+00","modif_planning_arret_humberto.xlsx","pj","provient du mailmodif planning arret maladie humbero"
"2013-09-30 12:33:08+00","modif planning arret maladie humbero","ml",""
"2013-11-07 07:16:05+00","modif et suite du planning operateur du 18.11 au 05.01.2014","ml",""
"2013-11-07 07:16:05+00","planning_du_18112013_au_05012013.xlsx","pj","provient du mailmodif et suite du planning operateur du 18.11 au 05.01.2014"
"2013-11-18 16:10:00+00","nouveau planning et horaire pour la permanence.","ml",""
"2013-11-18 16:10:00+00","planning_du_01.01.2014_AU_06.04.2014_-_MODIF_ATTENTION.xlsx","pj","provient du mailnouveau planning et horaire pour la permanence."
"2013-11-18 16:11:55+00","planning bis","ml",""
"2013-11-18 16:11:55+00","planning_du_01.01.2014_AU_06.04.2014_-_MODIF_ATTENTION.xlsx","pj","provient du mailplanning bis"
"2013-12-30 15:51:04+00","ERREUR SUR PLANNING","ml",""
"2014-01-07 09:06:48+00","poste et travail","ml",""
"2014-03-04 09:49:40+00","PLANNING_VACANCES_ETE_2014.xlsx","pj","provient du mailplanning ete 2014"
"2014-03-04 09:49:40+00","planning ete 2014","ml",""
"2014-05-16 06:28:10+00","Poste permanence du matin et charge de travail journalière","ml",""
"2014-05-16 07:57:08+00","Re: Poste permanence du matin et charge de travail journalière","ml",""
"2014-09-11 09:06:32+00","Modification planning pc à compter du 15.09.2014","ml",""
"2014-09-11 09:06:32+00","modif_planning_pc_à_compter_du_15.09.2014.xlsx","pj","provient du mailModification planning pc à compter du 15.09.2014"
"2014-10-23 14:40:41+00","le planning provisoire.... (je dois faire poser les ""5 eme semaine début janvier ..peut être à compter du 05.01.2014)","ml",""
"2014-10-23 14:40:41+00","planning_vacances_de_noel_etc.xlsx","pj","provient du maille planning provisoire.... (je dois faire poser les ""5 eme semaine début janvier ..peut être à compter du 05.01.2014)"
"2014-12-12 13:21:09+00","PLANNING A COMPTER DU 01.01.2015","ml",""
"2014-12-12 13:21:09+00","MODIF_PLANNING_A_COMPTER_DU_01.01.2015.xlsx","pj","provient du mailPLANNING A COMPTER DU 01.01.2015"
"2015-01-20 14:08:53+00","POSTE DU 03.03.2015 POUR LOIC ET BENOIT V MODIFICATION PLANNING","ml",""
"2015-02-26 16:45:46+00","CONGES 2015","ml",""
"2015-03-03 15:58:20+00","MODIFICATION DE PLANNING A COMPTER DU 03.03.2015","ml",""
"2015-03-03 15:58:20+00","modif_planning_a_compter_du_03.03.2015.xlsx","pj","provient du mailMODIFICATION DE PLANNING A COMPTER DU 03.03.2015"
"2015-03-20 08:26:35+00","CONGES_ETE_2015.xlsx","pj","provient du mailCONGES ETE 2015"
"2015-03-20 08:26:35+00","CONGES ETE 2015","ml",""
"2015-04-07 05:37:08+00","MODIF A COMPTER DE CETTE SEMAINE POUR 3 SEMAINES SI HUMB EN AM","ml",""
"2015-04-08 07:16:55+00","Re: planning du 7 au  26 si am humberto","ml",""
"2015-04-09 10:15:41+00","planning modifié pour arrêt maladie d humberto maintenu","ml",""
"2015-04-20 19:59:35+00","changement planning chris g et laurent ?","ml",""
"2015-04-20 19:59:35+00","modif_planning_derniere_semaine_d_avril_pour_laurent_et_chris_g.ods","pj","provient du mailchangement planning chris g et laurent ?"
"2015-04-30 08:05:58+00","RETOUR DE HUMBERTO","ml",""
"2015-05-22 12:49:37+00","MODIFICATION PLANNING POUR le week end du 23 et 24.05.2015","ml",""
"2015-06-22 08:23:23+00","Absence de Loic ce lundi 22.06.2015 de 19h à 7h","ml",""
"2016-01-19 17:58:29+00","Planning Février 2016","ml",""
"2016-01-19 17:58:29+00","Planning_PC_Février_2016_ref2016011901.pdf","pj","provient du mailPlanning Février 2016"
"2016-02-05 07:34:44+00","Prise de congés","ml",""
"2016-02-18 15:55:22+00","Planning_PC_Mars_2016_ref2016021701.pdf","pj","provient du mailPlanning mars 2016"
"2016-02-18 15:55:22+00","Planning mars 2016","ml",""
"2016-03-16 18:18:44+00","Re: Planning avril 2016","ml",""
"2016-04-13 14:05:44+00","Aménagement planning à compter du 20/04/2016","ml",""
"2016-04-13 14:05:44+00","CHANGEMENT_AU_20.04.2016.pdf","pj","provient du mailAménagement planning à compter du 20/04/2016"
"2016-04-19 12:36:11+00","2016_AVRIL_MAJ_AU_19.04.2016.ods","pj","provient du mailModifications planning 2016"
"2016-04-19 12:36:11+00","Modifications planning 2016","ml",""
"2016-04-27 14:29:06+00","PLANNING DU MOIS DE MAI 2016","ml",""
"2016-04-27 14:29:06+00","2016_MAI.ods","pj","provient du mailPLANNING DU MOIS DE MAI 2016"
"2016-04-28 08:46:17+00","PLANNING PC MAI 2016 Modifié","ml",""
"2016-04-28 08:46:17+00","2016_MAI.odg","pj","provient du mailPLANNING PC MAI 2016 Modifié"
"2016-05-06 09:54:12+00","DATES CONGES ETE 2016","ml",""
"2016-05-06 09:54:12+00","CONGES_ETE_2016.pdf","pj","provient du mailDATES CONGES ETE 2016"
"2016-05-06 12:28:00+00","MAJ PLANNING CONGES","ml",""
"2016-05-06 12:28:00+00","CONGES_ETE_2016.pdf","pj","provient du mailMAJ PLANNING CONGES"
"2016-05-25 14:40:46+00","2016_JUIN.pdf","pj","provient du mailPLANNING JUIN 2016"
"2016-05-25 14:40:46+00","PLANNING JUIN 2016","ml",""
"2016-05-26 06:54:19+00","rectificatif planning juin","ml",""
"2016-05-26 06:54:19+00","2016_JUIN.pdf","pj","provient du mailrectificatif planning juin"
"2016-05-26 09:27:51+00","MAJ Planning","ml",""
"2016-05-26 09:27:51+00","2016_JUIN.pdf","pj","provient du mailMAJ Planning"
"2016-05-30 07:05:58+00","Re: planning de juin","ml",""
"2016-06-02 12:59:13+00","2016_JUILLET.pdf","pj","provient du mailplanning juillet 2016"
"2016-06-02 12:59:13+00","planning juillet 2016","ml",""
"2016-06-03 07:30:29+00","Rectifications planning JUILLET 2016","ml",""
"2016-06-03 07:30:29+00","JUILLET_2016.pdf","pj","provient du mailRectifications planning JUILLET 2016"
"2016-07-19 14:27:17+00","AOUT_2016.pdf","pj","provient du mailPC PLANNING AOUT 2016"
"2016-07-19 14:27:17+00","PC PLANNING AOUT 2016","ml",""
"2016-07-25 12:21:43+00","AOUT_2016.pdf","pj","provient du mailPLANNING AOUT 2016 rectifié"
"2016-07-25 12:21:43+00","PLANNING AOUT 2016 rectifié","ml",""
"2016-07-29 07:01:55+00","AOUT2016.pdf","pj","provient du mailMODIFICATION PLANNING - Concerne Corentin et Humerto"
"2016-07-29 07:01:55+00","MODIFICATION PLANNING - Concerne Corentin et Humerto","ml",""
"2016-07-29 07:03:37+00","Re: planning mois d août","ml",""
"2016-07-29 07:10:01+00","planning de juillet. poste P1 du 29/07","ml",""
"2016-07-29 07:10:01+00","juillet_2016_maj.pdf","pj","provient du mailplanning de juillet. poste P1 du 29/07"
"2016-08-01 11:32:07+00","PC - Planning SEPTEMBRE 2016","ml",""
"2016-08-01 11:32:07+00","SEPTEMBRE_2016.pdf","pj","provient du mailPC - Planning SEPTEMBRE 2016"
"2016-08-01 11:32:07+00","AOUT_2016.pdf","pj","provient du mailPC - Planning SEPTEMBRE 2016"
"2016-08-01 12:05:10+00","PC PLANNING SEPTEMBRE 2016","ml",""
"2016-08-01 12:05:10+00","SEPTEMBRE_2016.pdf","pj","provient du mailPC PLANNING SEPTEMBRE 2016"
"2016-08-02 08:43:03+00","Re: PC - Planning SEPTEMBRE 2016","ml",""
"2016-08-02 12:19:50+00","SEPTEMBRE_2016.pdf","pj","provient du mailplanning septembre 2016"
"2016-08-02 12:19:50+00","planning septembre 2016","ml",""
"2016-08-03 09:49:29+00","AOUT_2016.pdf","pj","provient du mailInversions postes"
"2016-08-03 09:49:29+00","Inversions postes","ml",""
"2016-08-03 11:30:12+00","PLANNINGS AOUT - SEPTEMBRE 2016 rectifiés (encore)","ml",""
"2016-08-03 11:30:12+00","SEPTEMBRE_2016.pdf","pj","provient du mailPLANNINGS AOUT - SEPTEMBRE 2016 rectifiés (encore)"
"2016-08-03 11:30:12+00","AOUT_2016.pdf","pj","provient du mailPLANNINGS AOUT - SEPTEMBRE 2016 rectifiés (encore)"
"2016-08-27 06:14:07+00","SEPTEMBRE_2016.pdf","pj","provient du mailPLANNINGS AOUT - SEPTEMBRE 2016"
"2016-08-27 06:14:07+00","PLANNINGS AOUT - SEPTEMBRE 2016","ml",""
"2016-08-27 06:14:07+00","AOUT_2016.pdf","pj","provient du mailPLANNINGS AOUT - SEPTEMBRE 2016"
"2016-08-29 07:44:21+00","AOUT_2016.pdf","pj","provient du mailmaj Planning"
"2016-08-29 07:44:21+00","SEPTEMBRE_2016.pdf","pj","provient du mailmaj Planning"
"2016-08-29 07:44:21+00","maj Planning","ml",""
"2016-09-22 06:49:14+00","PLANNING PC OCTOBRE 2016","ml",""
"2016-09-22 06:49:14+00","SEPTEMBRE_2016.pdf","pj","provient du mailPLANNING PC OCTOBRE 2016"
"2016-09-22 06:49:14+00","octobre_2016.pdf","pj","provient du mailPLANNING PC OCTOBRE 2016"
"2016-09-22 07:05:32+00","PLANNING OCTOBRE","ml",""
"2016-09-22 07:05:32+00","octobre_2016.pdf","pj","provient du mailPLANNING OCTOBRE"
"2016-09-22 07:05:32+00","SEPTEMBRE_2016.pdf","pj","provient du mailPLANNING OCTOBRE"
"2016-09-26 13:30:59+00","Planning OCTOBRE 2016","ml",""
"2016-09-26 13:30:59+00","octobre_2016.pdf","pj","provient du mailPlanning OCTOBRE 2016"
"2016-09-27 07:32:28+00","octobre_2016.pdf","pj","provient du mailPLANNING OCTOBRE 2016 Corrigé"
"2016-09-27 07:32:28+00","PLANNING OCTOBRE 2016 Corrigé","ml",""
"2016-09-27 09:25:28+00","Planning octobre 2016","ml",""
"2016-09-27 09:25:28+00","octobre_2016.pdf","pj","provient du mailPlanning octobre 2016"
"2016-10-06 11:28:32+00","Re: échange de poste entre bh et cl","ml",""
"2016-10-07 13:35:41+00","PLANNING NOVEMBRE 2016","ml",""
"2016-10-07 13:35:41+00","NOVEMBRE_2016.pdf","pj","provient du mailPLANNING NOVEMBRE 2016"
"2016-11-04 10:31:39+00","Planning décembre 2016 (imminent)","ml",""
"2016-11-04 10:31:39+00","ANALYSE_CP_NOEL_ET_NOUVEL_AN.pdf","pj","provient du mailPlanning décembre 2016 (imminent)"
"2016-11-07 14:31:37+00","PLANNING DECEMBRE 2016","ml",""
"2016-11-07 14:31:37+00","DECEMBRE_2016.pdf","pj","provient du mailPLANNING DECEMBRE 2016"
"2016-11-18 07:19:59+00","Re: planning / décembre / demande déplacement du poste du 13/12 vers le 14/12","ml",""
"2016-11-23 07:55:50+00","Proprosition échange horaires décembre : 13 décembre contre 14 décembre","ml",""
"2016-11-23 07:58:51+00","DECEMBRE_2016.pdf","pj","provient du mailMAJ Planning décembre 2016"
"2016-11-23 07:58:51+00","MAJ Planning décembre 2016","ml",""
"2016-11-25 09:28:43+00","Mise en page cahier pointage horaires","ml",""
"2016-11-28 08:25:36+00","DECEMBRE_2016_MAJ_Du_28.11.2016.pdf","pj","provient du mailMAJ Planning décembre 2016"
"2016-11-28 08:25:36+00","MAJ Planning décembre 2016","ml",""
"2016-11-28 08:28:33+00","maj planning decembre 2016","ml",""
"2016-11-28 08:28:33+00","DECEMBRE_2016_MAJ_Du_28.11.2016.pdf","pj","provient du mailmaj planning decembre 2016"
"2016-11-28 08:39:02+00","Re: changement de postes","ml",""
"2016-12-02 14:40:45+00","PC - Planning janvier 2017","ml",""
"2016-12-02 14:40:45+00","2017_JANVIER.pdf","pj","provient du mailPC - Planning janvier 2017"
"2016-12-08 07:16:44+00","DECEMBRE_MAJ_DU_08.12.2016.pdf","pj","provient du mailMAJ Planning DÉCEMBRE 2016"
"2016-12-08 07:16:44+00","MAJ Planning DÉCEMBRE 2016","ml",""
"2016-12-08 09:32:08+00","2017_FEVRIER.pdf","pj","provient du mailPlanning février 2017"
"2016-12-08 09:32:08+00","Planning février 2017","ml",""
"2016-12-12 09:38:03+00","Modifications planning de Décembre 2016","ml",""
"2016-12-12 09:38:03+00","decembre_2016_MAJ_DU_12.12.2016.pdf","pj","provient du mailModifications planning de Décembre 2016"
"2016-12-14 10:34:36+00","DÉCEMBRE 2016 - MAJ","ml",""
